"DURATION","GEO","TIME","DEG_URB","SEX","AGE","UNIT","Value","Flag and Footnotes"
"1 hour or over","Latvia","2014","Total","Total","Total","Percentage","10.4",""
"1 hour or over","Lithuania","2014","Total","Total","Total","Percentage","7.5",""
"1 hour or over","Luxembourg","2014","Total","Total","Total","Percentage","5.5",""
"1 hour or over","Hungary","2014","Total","Total","Total","Percentage","6.8",""
"1 hour or over","Malta","2014","Total","Total","Total","Percentage","13.7",""
"1 hour or over","Netherlands","2014","Total","Total","Total","Percentage","10.9",""
"1 hour or over","Austria","2014","Total","Total","Total","Percentage","14.9",""
"1 hour or over","Poland","2014","Total","Total","Total","Percentage","14.5",""
"1 hour or over","Portugal","2014","Total","Total","Total","Percentage","4.9",""
"1 hour or over","Romania","2014","Total","Total","Total","Percentage","18.0",""
"1 hour or over","Slovenia","2014","Total","Total","Total","Percentage","6.2",""
"1 hour or over","Slovakia","2014","Total","Total","Total","Percentage","11.7",""
"1 hour or over","Finland","2014","Total","Total","Total","Percentage","1.5",""
"1 hour or over","Sweden","2014","Total","Total","Total","Percentage","2.3",""
"1 hour or over","United Kingdom","2014","Total","Total","Total","Percentage","7.9",""
"1 hour or over","Iceland","2014","Total","Total","Total","Percentage","3.6",""
"1 hour or over","Norway","2014","Total","Total","Total","Percentage","2.8",""
"1 hour or over","Turkey","2014","Total","Total","Total","Percentage","14.2",""
"Never","European Union - 27 countries (from 2020)","2014","Total","Total","Total","Percentage","77.4",""
"Never","European Union - 28 countries (2013-2020)","2014","Total","Total","Total","Percentage","78.5",""
"Never","Belgium","2014","Total","Total","Total","Percentage","75.3","u"
"Never","Bulgaria","2014","Total","Total","Total","Percentage","59.5",""
"Never","Czechia","2014","Total","Total","Total","Percentage","69.9",""
"Never","Denmark","2014","Total","Total","Total","Percentage","84.9",""
"Never","Germany (until 1990 former territory of the FRG)","2014","Total","Total","Total","Percentage","83.1",""
"Never","Estonia","2014","Total","Total","Total","Percentage","78.8",""
"Never","Ireland","2014","Total","Total","Total","Percentage","83.9",""
"Never","Greece","2014","Total","Total","Total","Percentage","35.8",""
"Never","Spain","2014","Total","Total","Total","Percentage","84.5",""
"Never","France","2014","Total","Total","Total","Percentage","78.2",""
"Never","Croatia","2014","Total","Total","Total","Percentage","55.3",""
"Never","Italy","2014","Total","Total","Total","Percentage","76.8",""
"Never","Cyprus","2014","Total","Total","Total","Percentage","74.2",""
"Never","Latvia","2014","Total","Total","Total","Percentage","73.5",""
"Never","Lithuania","2014","Total","Total","Total","Percentage","78.7",""
"Never","Luxembourg","2014","Total","Total","Total","Percentage","85.1",""
"Never","Hungary","2014","Total","Total","Total","Percentage","90.1",""
"Never","Malta","2014","Total","Total","Total","Percentage","67.9",""
"Never","Netherlands","2014","Total","Total","Total","Percentage","74.9",""
"Never","Austria","2014","Total","Total","Total","Percentage","71.5",""
"Never","Poland","2014","Total","Total","Total","Percentage","70.5",""
"Never","Portugal","2014","Total","Total","Total","Percentage","91.4",""
"Never","Romania","2014","Total","Total","Total","Percentage","62.4",""
"Never","Slovenia","2014","Total","Total","Total","Percentage","83.8",""
"Never","Slovakia","2014","Total","Total","Total","Percentage","70.8",""
"Never","Finland","2014","Total","Total","Total","Percentage","93.7",""
"Never","Sweden","2014","Total","Total","Total","Percentage","94.1",""
"Never","United Kingdom","2014","Total","Total","Total","Percentage","86.8",""
"Never","Iceland","2014","Total","Total","Total","Percentage","91.4",""
"Never","Norway","2014","Total","Total","Total","Percentage","90.4",""
"Never","Turkey","2014","Total","Total","Total","Percentage","73.4",""
